Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2658.120117,3110.570068,2658.120117,15552.850586,2752.192383,898582
2000-01-05,3167.120117,3572.439941,2940.899902,16495.451172,2918.992432,3865389
2000-01-06,3299.090088,3468.75,2808.939941,14327.450195,2535.348633,1382353
2000-01-07,2978.600098,3289.659912,2827.790039,16448.298828,2910.648682,2402938
2000-01-10,3638.419922,3694.97998,3157.699951,16024.150391,2835.592041,3993227
2000-01-11,3204.830078,3487.600098,3110.570068,16354.050781,2893.970459,1596654
2000-01-12,3289.659912,3760.959961,3204.830078,18804.800781,3327.648926,3941243
2000-01-13,3770.379883,4203.97998,3468.75,17532.300781,3102.470459,11397248
2000-01-14,3506.459961,3506.459961,2988.030029,14940.150391,2643.770264,4794737
2000-01-17,2950.330078,3204.830078,2903.199951,14798.75,2618.748779,3258024
2000-01-18,3016.310059,3110.570068,2827.790039,14233.199219,2518.670166,2067694
2000-01-19,2856.070068,2978.600098,2676.969971,13479.100586,2385.227295,2006692
2000-01-20,2639.27002,2714.679932,2545.01001,13007.800781,2301.82666,1070448
2000-01-21,2639.27002,2865.48999,2554.439941,13290.600586,2351.870361,2250169
2000-01-24,2714.679932,2865.48999,2667.550049,13479.100586,2385.227295,1558462
2000-01-25,2667.550049,2771.22998,2582.709961,12913.549805,2285.148926,939957
2000-01-26,2658.120117,2676.969971,2545.01001,13054.950195,2310.17041,772335
2000-01-27,2639.27002,2969.179932,2610.98999,13667.650391,2418.592529,3375253
2000-01-28,2827.790039,2827.790039,2667.550049,13761.899414,2435.270264,1084770
2000-01-31,2714.679932,2865.48999,2714.679932,13573.399414,2401.913818,1197226
2000-02-01,2733.530029,2771.22998,2658.120117,13479.100586,2385.227295,898582
2000-02-02,2752.379883,2922.050049,2695.820068,14138.950195,2501.992676,2065572
2000-02-03,2846.639893,2865.48999,2733.530029,13809.050781,2443.614258,968071
2000-02-04,2761.810059,2761.810059,2761.810059,13809.050781,2443.614258,0
2000-02-07,2761.810059,2856.070068,2733.530029,13903.299805,2460.291992,1129858
